Steps: 34000	Recognition Loss: 0.00824	Translation Loss: 93912.57812	PPL: 12062.25879	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.64	(BLEU-1: 10.82,	BLEU-2: 3.36,	BLEU-3: 1.32,	BLEU-4: 0.64)	CHRF 17.12	ROUGE 9.46	LR: 0.00010000	
Steps: 36000	Recognition Loss: 0.00958	Translation Loss: 93248.76562	PPL: 11287.01758	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.61	(BLEU-1: 11.39,	BLEU-2: 3.36,	BLEU-3: 1.35,	BLEU-4: 0.61)	CHRF 17.49	ROUGE 9.70	LR: 0.00005000	
Steps: 38000	Recognition Loss: 0.00408	Translation Loss: 94348.35938	PPL: 12599.91504	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.71	(BLEU-1: 10.35,	BLEU-2: 3.19,	BLEU-3: 1.35,	BLEU-4: 0.71)	CHRF 16.93	ROUGE 9.15	LR: 0.00005000	
Steps: 40000	Recognition Loss: 0.00393	Translation Loss: 95398.39844	PPL: 13995.93359	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.69	(BLEU-1: 9.93,	BLEU-2: 3.05,	BLEU-3: 1.32,	BLEU-4: 0.69)	CHRF 16.77	ROUGE 8.98	LR: 0.00005000	
Steps: 42000	Recognition Loss: 0.00489	Translation Loss: 95106.78125	PPL: 13593.41406	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.67	(BLEU-1: 9.82,	BLEU-2: 3.03,	BLEU-3: 1.26,	BLEU-4: 0.67)	CHRF 16.68	ROUGE 9.11	LR: 0.00005000	
Steps: 44000	Recognition Loss: 0.00572	Translation Loss: 93733.45312	PPL: 11847.96484	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.83	(BLEU-1: 10.50,	BLEU-2: 3.38,	BLEU-3: 1.50,	BLEU-4: 0.83)	CHRF 17.06	ROUGE 9.26	LR: 0.00005000	
Steps: 46000	Recognition Loss: 0.00459	Translation Loss: 94906.13281	PPL: 13323.18555	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.69	(BLEU-1: 10.39,	BLEU-2: 3.10,	BLEU-3: 1.31,	BLEU-4: 0.69)	CHRF 16.63	ROUGE 9.26	LR: 0.00005000	
Steps: 48000	Recognition Loss: 0.00445	Translation Loss: 92389.77344	PPL: 10357.32324	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.67	(BLEU-1: 10.66,	BLEU-2: 3.39,	BLEU-3: 1.41,	BLEU-4: 0.67)	CHRF 16.96	ROUGE 9.15	LR: 0.00005000	
Steps: 50000	Recognition Loss: 0.00625	Translation Loss: 93780.79688	PPL: 11904.23242	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.83	(BLEU-1: 10.76,	BLEU-2: 3.31,	BLEU-3: 1.46,	BLEU-4: 0.83)	CHRF 16.91	ROUGE 9.33	LR: 0.00005000	
Steps: 52000	Recognition Loss: 0.00411	Translation Loss: 95382.50781	PPL: 13973.70020	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.61	(BLEU-1: 11.05,	BLEU-2: 3.37,	BLEU-3: 1.24,	BLEU-4: 0.61)	CHRF 16.56	ROUGE 9.76	LR: 0.00005000	
Steps: 54000	Recognition Loss: 0.00435	Translation Loss: 92853.69531	PPL: 10849.49609	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.73	(BLEU-1: 10.51,	BLEU-2: 3.27,	BLEU-3: 1.42,	BLEU-4: 0.73)	CHRF 16.45	ROUGE 9.20	LR: 0.00005000	
Steps: 56000	Recognition Loss: 0.00598	Translation Loss: 92286.22656	PPL: 10250.55762	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.89	(BLEU-1: 11.59,	BLEU-2: 3.98,	BLEU-3: 1.65,	BLEU-4: 0.89)	CHRF 17.40	ROUGE 9.91	LR: 0.00005000	
Steps: 58000	Recognition Loss: 0.00546	Translation Loss: 93521.89062	PPL: 11599.76172	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.69	(BLEU-1: 10.40,	BLEU-2: 3.33,	BLEU-3: 1.39,	BLEU-4: 0.69)	CHRF 16.52	ROUGE 9.11	LR: 0.00005000	
Steps: 60000	Recognition Loss: 0.00624	Translation Loss: 91356.39844	PPL: 9339.79199	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.61	(BLEU-1: 10.81,	BLEU-2: 3.50,	BLEU-3: 1.36,	BLEU-4: 0.61)	CHRF 16.66	ROUGE 9.52	LR: 0.00005000	
Steps: 62000	Recognition Loss: 0.00437	Translation Loss: 91969.26562	PPL: 9930.53027	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.69	(BLEU-1: 10.71,	BLEU-2: 3.49,	BLEU-3: 1.48,	BLEU-4: 0.69)	CHRF 16.93	ROUGE 9.57	LR: 0.00002500	
